"Deeplink";"Produkt-Titel";"Produktbeschreibung";"Produktbeschreibung lang";"Preis (Brutto)";"Preis (Netto)";"Währung";"europäische Artikelnummer EAN";"Anbieter Artikelnummer AAN";"Hersteller";"Hersteller Artikelnummer HAN";"Produktbild-URL";"Vorschaubild-URL";"Produktkategorie";"Versandkosten Allgemein";"Versandkosten Vorkasse";"Versandkosten Nachnahme";"Versandkosten Kreditkarte";"Versandkosten Lastschrift";"Versandkosten Rechnung";"Versandkosten PayPal";"Versandkosten Sofortüberweisung";"Lieferzeit/Verfügbarkeit";"base_price";"unit_pricing_base_measure";"unit_pricing_measure";"ext_Grundpreis";"ext_Inhalt"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-supercrema-1kg%3Fnumber%3D4109001";"Espresso Agostino Supercrema 1kg";"ESPRESSO AGOSTINO Supercrema 90% Robusta, 10% Arabica";"";"16,90";"";"";"4039121000015";"4109001";"Espresso Agostino";"70109";"https://images.vinocentral.de/media/image/a7/a4/1d/Img1036_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 16,90";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-perfetto-1kg%3Fnumber%3D4109003";"Espresso Agostino Perfetto 1kg";"ESPRESSO AGOSTINO Perfetto 60% Arabica, 40% Robusta";"";"19,50";"";"";"4039121000022";"4109003";"Espresso Agostino";"70109";"https://images.vinocentral.de/media/image/fa/b8/98/Img1025_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 19,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-veneziano-250g%3Fnumber%3D4111001";"Espresso Agostino Veneziano 250g";"ESPRESSO AGOSTINO veneziano  feinherb, schokoladig, milde Säure 90% Arabica, 10% Robusta aus...";"";"7,00";"";"";"4111001";"4111001";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/52/07/31/Img105958506a83a9d8a_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 28,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-veneziano-1kg%3Fnumber%3D4111002";"Espresso Agostino Veneziano 1kg";"ESPRESSO AGOSTINO veneziano feinherb, schokoladig, milde Säure 90% Arabica, 10% Robusta aus dem H...";"";"25,50";"";"";"4111002";"4111002";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/92/0c/db/Img1039_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 25,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-fiorentino-250g%3Fnumber%3D4111003";"Espresso Agostino Fiorentino 250g";"ESPRESSO AGOSTINO fiorentino  fruchtig, blumig, säurearm 85 % Arabica, 15 % Robusta aus dem ...";"";"6,80";"";"";"4111003";"4111003";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/ee/db/69/Img1049_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 27,20";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-fiorentino-1kg%3Fnumber%3D4111004";"Espresso Agostino Fiorentino 1kg";"ESPRESSO AGOSTINO fiorentino  fruchtig, blumig, säurearm 85 % Arabica, 15 % Robusta aus dem ...";"";"24,70";"";"";"4111004";"4111004";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/35/38/47/Img1043_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 24,70";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-napoletano-250g%3Fnumber%3D4111005";"Espresso Agostino Napoletano 250g";"ESPRESSO AGOSTINO napoletano   kraftvoll, zartbitter 85 % Robusta 15 % Arabica  Durch d...";"";"6,50";"";"";"4111005";"4111005";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/72/66/b3/Img1045_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 26,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-napoletano-1kg%3Fnumber%3D4111006";"Espresso Agostino Napoletano 1kg";"ESPRESSO AGOSTINO napoletano   kraftvoll, zartbitter 85 % Robusta 15 % Arabica  Durch d...";"";"23,50";"";"";"4111006";"4111006";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/5d/41/c3/Img1041_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 23,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-bellagio-koffeinfrei-1kg%3Fnumber%3D4111007";"Espresso Agostino Bellagio koffeinfrei 1kg";"ESPRESSO AGOSTINO bellagio   koffeinfrei, aromatisch, kräftig 100 % Arabica aus Kolumbien, e...";"";"25,50";"";"";" 4111007   ";"4111007";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/f9/ed/72/bild_espresso_agostino_bellagio_koffeinfrei_1kg_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 25,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-bellagio-koffeinfrei-250g%3Fnumber%3D4111008";"Espresso Agostino Bellagio koffeinfrei 250g";"ESPRESSO AGOSTINO bellagio   koffeinfrei, aromatisch, kräftig 100 % Arabica aus Kolumbien, e...";"";"7,00";"";"";"";"4111008";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/51/bf/ed/Img1053_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 28,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-guatemala-lampocoy-arabica-250g%3Fnumber%3D4111015";"Espresso Agostino Cento per cento: Guatemala Lampocoy Arabica 250g";"ESPRESSO AGOSTINO cento per cento: Guatemala Lampocoy  vollmundig kräftig, Aromen von Schoko...";"";"7,20";"";"";"";"4111015";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/f8/1b/36/Img1090_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 28,80";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-guatemala-lampocoy-arabica-1kg%3Fnumber%3D4111016";"Espresso Agostino Cento per cento: Guatemala Lampocoy Arabica 1kg";"ESPRESSO AGOSTINO cento per cento: Guatemala Lampocoy   vollmundig kräftig, Aromen von Schok...";"";"27,90";"";"";"4111016";"4111016";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/d8/75/26/bild_espresso_agostino_cento_per_cento_guatemala_lampocoy_arabica_1kgV2rJdZgfuZbTv_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 27,90";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-peru-tunki-arabica-250g%3Fnumber%3D4111019";"Espresso Agostino Biologico: Peru Tunki Arabica 250g";"ESPRESSO AGOSTINO biologico: Peru Tunki  hochwertig, sortenrein, mild, leichte Säure fair ge...";"";"8,00";"";"";"4111019";"4111019";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/e3/07/79/bild_espresso_agostino_peru_tunki_250g_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 32,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-biologico-peru-tunki-arabica-1kg%3Fnumber%3D4111020";"Espresso Agostino Biologico: Peru Tunki Arabica 1kg";"ESPRESSO AGOSTINO biologico: Peru Tunki  hochwertig, sortenrein, mild, leichte Saüre bio, fa...";"";"29,50";"";"";"4111020";"4111020";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/4a/32/7a/bild_espresso_agostino_biologico_peru_tunki_arabica_1kg_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 29,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-aethiopien-yirgacheffe-250g%3Fnumber%3D4111053";"Espresso Agostino Cento per cento: Äthiopien Yirgacheffe Arabica 250g";"ESPRESSO AGOSTINO Cento per cento: Äthiopien Yirgacheffe Arabica  100 % Arabica Die Linie?bi...";"";"7,00";"";"";"4111053";"4111053";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/f1/b0/d5/bild_espresso_agostino_cento_per_cento_aethiopien_yirgacheffe_arabica_250g_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 28,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-aethiopien-yirgacheffe-1kg%3Fnumber%3D4111054";"Espresso Agostino Cento per cento: Äthiopien Yirgacheffe Arabica 1kg";"ESPRESSO AGOSTINO Cento per cento: Äthiopien Yirgacheffe Arabica  100 % Arabica Die Linie?bi...";"";"25,50";"";"";"4111054";"4111054";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/8b/d7/a3/bild_espresso_agostino_cento_per_cento_aethiopien_yirgacheffe_arabica_1kg_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 25,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fbalduccio-olivenoel-extra-vergine-bio-500ml%3Fnumber%3D4824001";"Balduccio Olivenöl Extra Vergine Bio 2021 500ml";"Intensiv grünfruchtig, würzig, pfeffrige Schärfe Ist man bei Andreas März vor Ort, dann erscheint...";"";"25,90";"";"";"";"4824001";"Balduccio";"4824001";"https://images.vinocentral.de/media/image/73/dd/a0/bild_balduccio_olivenoel_extra_vergine_bio_500mleBT94z2aAxT1L_1280x1280.jpg";"";"Weine>Olivenöl";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 51,80";"0.5 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fkarl-may-blutsbruder-wei-bio%3Fnumber%3D8222003";"Karl May Blutsbruder Weiß Bio 2020";"Hier gibt der Sauvignon den Ton an. Schon beim ersten Schnuppern ins Glas ist seine aromatische D...";"";"10,90";"";"";"4260668230256";"8222003";"Karl May";"";"https://images.vinocentral.de/media/image/ca/37/f1/bild_karl_may_blutsbruder_weiss_bio_220_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 14,53";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fkarl-may-blutsbruder-rot-bio%3Fnumber%3D8222007";"Karl May Blutsbruder Rot Bio 2018";"Nicht nur gutes Marketing, sondern auch viel Weinverstand stecken in der Rotwein-Cuvée ?Blutsbrud...";"";"13,50";"";"";"4260668230140";"8222007";"Karl May";"1612";"https://images.vinocentral.de/media/image/77/a0/8b/bild_karl_may_blutsbruder_rot_bio_2018_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 18,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2F2549%2Faperol-1-0l%2F%3Fnumber%3D8430040";"Aperol 1,0l";"";"";"18,90";"";"";"8002230000012";"8430040";"K & K GetrÃ¤nke";"5211";"";"";"";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 18,90";"1 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fjudith-beck-ink-bio%3Fnumber%3D8702020";"Judith Beck Beck Ink Bio 2020";"Neu eingetroffen. Aktuelle Beschreibung folgt. Verkostungsnotiz des Jahrgangs 2019: Vielleicht be...";"";"8,90";"";"";"9120018185986";"8702020";"Judith Beck ";"";"https://images.vinocentral.de/media/image/19/b5/d0/bild_judith_beck_beck_ink_bio_2020_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"5 Tage";"";"";"";"1 l = 11,87";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fjudith-beck-st-laurent-schafleiten%3Fnumber%3D8702021";"Judith Beck St.Laurent Schafleiten Bio 2017";"Neu eingetroffen. Aktuelle Beschreibung folgt. Verkostungsnotiz des Jahrgangs 2013: Ein ebenso el...";"";"22,50";"";"";"9120018185306";"8702021";"Judith Beck ";"";"https://images.vinocentral.de/media/image/d0/27/8d/bild_judith_beck_st_laurent_schafleiten_2017_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 30,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fjudith-beck-pannobile-bio%3Fnumber%3D8702022";"Judith Beck Pannobile Bio 2015";"Hinter dem Begriff ?Pannobile? ? eine Wortschöpfung aus ?Pannonien? und ?Nobile? ? steht eine Ver...";"";"24,50";"";"";"9120018183999";"8702022";"Judith Beck ";"";"https://images.vinocentral.de/media/image/51/64/72/bild_judith_beck_pannobile_bio_2015_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 32,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweissweine%2Fweingut-juelg-gelber-muskateller%3Fnumber%3D8703031";"Weingut Jülg Gelber Muskateller 2020";"Verkostungsnotiz des Jahrgangs 2019: Sogenannte Aromarebsorten wie der Gelbe Muskateller geraten ...";"";"9,40";"";"";"4260635610166";"8703031";"Weingut JÃ¼lg ";"1815";"https://images.vinocentral.de/media/image/76/d3/0a/bild_weingut_juelg_gelber_muskateller_2018_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"5 Tage";"";"";"";"1 l = 12,53";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-juelg-spaetburgunder-schweigen%3Fnumber%3D8703032";"Weingut Jülg Spätburgunder Schweigen 2020";"Verkostungsnotiz des Jahrgangs 2018: Das Weingut Jülg, direkt an der französischen Grenze gelegen...";"";"18,00";"";"";"4260635612092";"8703032";"Weingut JÃ¼lg ";"OW07";"https://images.vinocentral.de/media/image/d7/b4/70/bild_weingut_juelg_spaetburgunder_kalkmergel_2018_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 24,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-juelg-chardonnay-sonnenberg%3Fnumber%3D8703033";"Weingut Jülg Chardonnay Sonnenberg 2020";"Verkostungsnotiz des Jahrgangs 2016: Lagenwein aus Weinbergen in Frankreich Familie Jülg im äußer...";"";"18,50";"";"";"4260635610463";"8703033";"Weingut JÃ¼lg ";"46";"https://images.vinocentral.de/media/image/22/cf/a7/bild_weingut_juelg_chardonnay_sonnenberg_2020_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 24,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-juelg-cremant-brut%3Fnumber%3D8703036";"Weingut Jülg Crémant Brut 2020";"Zu dem Jahrgang 2017: Wie könnte eine deutsch-französische Freundschaft besser vollzogen werden a...";"";"12,90";"";"";"4260635610616";"8703036";"Weingut JÃ¼lg ";"ST01*";"https://images.vinocentral.de/media/image/fb/73/01/bild_weingut_juelg_cremant_brut_2020_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 17,20";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-weninger-blaufraenkisch-bio%3Fnumber%3D8706060";"Weingut Weninger Blaufränkisch Bio 2018";"Kühle, schwere Lehmböden geben diesem authentischen, ehrlichen Blaufränkisch sein Rückgrat und se...";"";"10,00";"";"";"9120007505641";"8706060";"Weingut Weninger ";"";"https://images.vinocentral.de/media/image/39/c8/ac/bild_weingut_weninger_blaufraenkisch_bio_2018_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 13,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-weninger-hochaecker-blaufraenkisch%3Fnumber%3D8706061";"Weingut Weninger Hochäcker Blaufränkisch Bio 2017";"Ein Blaufränkisch der Mustergültigkeit dafür beanspruchen darf, was diese Rebe kann und ist. Jede...";"";"13,90";"";"";"9120007505412";"8706061";"Weingut Weninger ";"70706";"https://images.vinocentral.de/media/image/16/06/71/bild_weingut_weninger_hochaecker_blaufraenkisch_2017_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 18,53";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-weninger-steiner-kekfrankos%3Fnumber%3D8706062";"Weingut Weninger Steiner Kékfrankos Bio 2016";"Neu eingetroffen. Aktuelle Beschreibung folgt. Verkostungsnotiz des Jahrgangs 2013: Schon recht f...";"";"24,50";"";"";"5999517612903";"8706062";"Weingut Weninger ";"70706";"https://images.vinocentral.de/media/image/3a/d1/81/bild_weingut_weninger_steiner_kekfrankos_bio_2016_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 32,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fverus-sauvignon-blanc%3Fnumber%3D8709003";"Verus Sauvignon Blanc 2021";"Verkostungsnotiz des Jahrgangs 2019: Für viele ist Slowenien auf der Karte der Weinbauländer leid...";"";"11,50";"";"";"3830047630017";"8709003";"Verus";"";"https://images.vinocentral.de/media/image/83/a7/45/bild_verus_sauvignon_blanc_2021_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 15,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fverus-muskateller%3Fnumber%3D8709004";"Verus Muskateller 2021";"Duft von blumigem Muskat, Zitrus und Orange. Charmante leichte Süße, frisch und beschwingt. Sehr ...";"";"11,50";"";"";"3830047630093";"8709004";"Verus";"70709";"https://images.vinocentral.de/media/image/de/40/8e/bild_verus_muskateller_2019_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 15,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fverus-pinot-noir%3Fnumber%3D8709005";"Verus Pinot Noir 2015";"Der Pinot Noir ist im Weingut Verus aus der ?slovenska ?tajerska? ? der slowenischen Steiermark ?...";"";"17,90";"";"";"3830047630208";"8709005";"Verus";"70709";"https://images.vinocentral.de/media/image/3f/44/28/bild_verus_pinot_noir_2015_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 23,87";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fschlossboeckelheimer-kupfergrube-riesling-reserve%3Fnumber%3D87224003";"Gut Hermannsberg Schlossböckelheimer Kupfergrube Riesling GG -Reserve- 2016";"Für eingefleischte Fans von Gut Hermannsberg ist das Große Gewächs aus der Kupfergrube wohl das r...";"";"55,00";"";"";"4035384111536";"87224003";"Gut Hermannsberg";"161113";"https://images.vinocentral.de/media/image/d2/81/75/bild_gut_hermannsberg_schlossboeckelheimer_kupfergrube_riesling_gg_reserve_2016_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 73,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Ftenuta-di-sesta-brunello-di-montalcino%3Fnumber%3D8723003";"Tenuta di Sesta Brunello di Montalcino 2015";"Höchstwertung 3 Gläser im Gambero Rosso 2021 ? Italiens Weinführer N° 1 Neu eingetroffen. Aktuell...";"";"34,50";"";"";"8057094721009";"8723003";"Tenuta di Sesta ";"05510115";"https://images.vinocentral.de/media/image/2c/3c/f4/bild_tenuta_di_sesta_brunello_di_montalcino_20154H2l1tF4GEyIf_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"5 Tage";"";"";"";"1 l = 46,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fmontalbera-ruch-di-castagnole-monferrato-laccento%3Fnumber%3D8725004";"Montalbera Ruché di Castagnole Monferrato Laccento 2018";"Neu eingetroffen. Aktuelle Beschreibung folgt. Verkostungsnotiz des Jahrgangs 2017: Man nimmt heu...";"";"19,90";"";"";"8032764291204";"8725004";"Montalbera";"";"https://images.vinocentral.de/media/image/b1/cf/36/bild_montalbera_ruche_di_castagnole_monferrato_laccento_2018_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 26,53";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Flarmandier-longitude-premier-cru-blanc-de-blancs%3Fnumber%3D8735001";"Larmandier-Bernier Longitude Champagne Premier Cru Blanc de Blancs NV Bio";"Die Chardonnay-Grundweine für diesen bereits herausragenden Basis-Champagner des Hauses Larmandie...";"";"66,00";"";"";"";"8735001";"Larmandier-Bernier";"9920503016";"https://images.vinocentral.de/media/image/48/3b/44/bild_larmandier_bernier_longitude_champagne_premier_cru_blanc_de_blancs_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 88,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fchateau-falfas-cotes-de-bourg-bordeaux%3Fnumber%3D8735005";"Château Falfas Côtes de Bourg Bordeaux Bio 2016";"Nur noch wenige Flaschen verfügbar.";"";"21,90";"";"";"";"8735005";"ChÃ¢teau Falfas";"9990101031";"https://images.vinocentral.de/media/image/6e/85/03/bild_chateau_falfas_cotes_de_bourg_bordeaux_bio_2016_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 29,20";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fchateau-falfas-le-chavalier-cotes-de-bourg%3Fnumber%3D8735006";"Château Falfas Le Chavalier Côtes de Bourg Bio 2011";"Der kirschrote 2011er Château de Falfas Le Chevalier präsentiert sich mit fulminanter Aromatik, d...";"";"39,50";"";"";"";"8735006";"ChÃ¢teau Falfas";"9990101024";"https://images.vinocentral.de/media/image/1c/06/00/bild_chateau_falfas_le_chevalier_cotes_de_bourg_2011_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 52,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fvacheron-sancerre-blanc-bio%3Fnumber%3D8735013";"Vacheron Sancerre Blanc Bio 2020";"Verkostungsnotiz des Jahrgangs 2019: Unter den weiter östlich gelegenen Weinbaugebieten an der Lo...";"";"26,00";"";"";"3458965723910";"8735013";"Vacheron";"9910400062";"https://images.vinocentral.de/media/image/a1/c5/eb/bild_vacheron_sancerre_blanc_bio_2020_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 34,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fe-pira-und-figli-chiara-boschis-langhe-nebbiolo%3Fnumber%3D8735017";"E.Pira & Figli Chiara Boschis Langhe Nebbiolo 2018";"Nur noch wenige Flaschen verfügbar.";"";"28,00";"";"";"";"8735017";"E.Pira & Figli Chiara Boschis";"9911500049";"https://images.vinocentral.de/media/image/80/21/b3/bild_e_pira_und_figli_chiara_boschis_langhe_nebbiolo_2018_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 37,33";"0.75 l"
