"Deeplink";"Produkt-Titel";"Produktbeschreibung";"Produktbeschreibung lang";"Preis (Brutto)";"Preis (Netto)";"Währung";"europäische Artikelnummer EAN";"Anbieter Artikelnummer AAN";"Hersteller";"Hersteller Artikelnummer HAN";"Produktbild-URL";"Vorschaubild-URL";"Produktkategorie";"Versandkosten Allgemein";"Versandkosten Vorkasse";"Versandkosten Nachnahme";"Versandkosten Kreditkarte";"Versandkosten Lastschrift";"Versandkosten Rechnung";"Versandkosten PayPal";"Versandkosten Sofortüberweisung";"Lieferzeit/Verfügbarkeit";"base_price";"unit_pricing_base_measure";"unit_pricing_measure";"ext_Grundpreis";"ext_Inhalt"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fstina-plavac-mali-2016%3Fnumber%3D8924012";"Stina Plavac Mali 2016";"Plavac ist ohne Zweifel die wahre autochthone rote Traube der südlichen kroatischen Adria Küste. ...";"";"17,90";"";"";"3859892605049";"8924012";"Stina";"131";"https://images.vinocentral.de/media/image/74/62/1d/bild_stina_plavac_mali_2016_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 23,87";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fgabbas-arbore-cannonau-di-sardegna-riserva-2012%3Fnumber%3D8773008";"Gabbas Arbore Cannonau di Sardegna Riserva 2012";"Nur noch wenige Flaschen verfügbar";"";"21,90";"";"";"";"8773008";"Gabbas";"";"https://images.vinocentral.de/media/image/36/48/29/bild_gabbas_arbore_cannonau_di_sargegna_riserva_2012t6J3k9tgrbqFn_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 29,20";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fsilvio-morando-barbera-del-monferrato%3Fnumber%3D8033000";"Silvio Morando Barbera del Monferrato Bio 2020";"Neu eingetroffen. Beschreibung folgt.";"";"12,50";"";"";"";"8033000";"Silvio Morando";"";"https://images.vinocentral.de/media/image/9c/18/2e/bild_silvio_morando_barbera_del_monferrato_2020_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 16,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fsilvio-morando-grignolino%3Fnumber%3D8033001";"Silvio Morando Grignolino Bio 2021";"Neu eingetroffen. Beschreibung folgt.";"";"12,50";"";"";"";"8033001";"Silvio Morando";"";"https://images.vinocentral.de/media/image/cf/08/1c/bild_silvio_morando_grignolino_2021_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 16,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-wolf-riesling-2018%3Fnumber%3D8205008";"Weingut Wolf Riesling 2018";"Die Entstehungsgeschichte zu diesem Riesling ist spannend: In den ersten Jahren zurück im elterli...";"";"15,00";"";"";"";"8205008";"Weingut Wolf";"";"https://images.vinocentral.de/media/image/d0/90/17/bild_weingut_wolf_riesling_2018_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 20,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-wolf-cuve-kurt-2%3Fnumber%3D8205009";"Weingut Wolf Cuvée Kurt #2";"Neu eingetroffen. Beschreibung folgt.";"";"11,00";"";"";"";"8205009";"Weingut Wolf";"";"https://images.vinocentral.de/media/image/84/bf/16/bild_weingut_wolf_cuvee_kurt_2_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 14,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-wolf-sekt-extra-brut%3Fnumber%3D8205010";"Weingut Wolf Sekt extra Brut";" ";"";"22,00";"";"";"";"8205010";"Weingut Wolf";"";"https://images.vinocentral.de/media/image/79/1a/d2/bild_weingut_wolf_sekt_extra_brut_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 29,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fsilvio-morando-anarchico-grignolino-del-monferrato%3Fnumber%3D8033002";"Silvio Morando Anarchico Grignolino del Monferrato Casalese Bio 2020";"Neu eingetroffen. Beschreibung folgt.";"";"24,00";"";"";"";"8033002";"Silvio Morando";"";"https://images.vinocentral.de/media/image/66/81/76/bild_silvio_morando_anarchico_grignolino_del_monferrato_casalese_2020_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 32,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fsilvio-morando-bonarda-vivace-doc%3Fnumber%3D8033003";"Silvio Morando Bonarda vivace DOC Bio 2020";"Neu eingetroffen. Beschreibung folgt.";"";"12,50";"";"";"";"8033003";"Silvio Morando";"";"https://images.vinocentral.de/media/image/ed/d6/06/bild_silvio_morando_bonarda_vivace_doc_2020_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 16,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fsilvio-morando-bastardo-vino-rosato%3Fnumber%3D8033004";"Silvio Morando Bastardo Vino Rosato";"Neu eingetroffen. Beschreibung folgt.";"";"12,50";"";"";"";"8033004";"Silvio Morando";"";"https://images.vinocentral.de/media/image/d8/8e/e2/bild_silvio_morando_bastardo_vino_rosato_1280x1280.jpg";"";"Weine>Roséweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 16,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fsilvio-morando-naturalmente-rosso%3Fnumber%3D8033005";"Silvio Morando Naturalmente Rosso Bio";"Neu eingetroffen. Beschreibung folgt.";"";"10,00";"";"";"";"8033005";"Silvio Morando";"";"https://images.vinocentral.de/media/image/ba/03/0e/bild_silvio_morando_naturalmente_rosso_1280x1280.jpg";"";"Weine>Rotweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 13,33";"0.75 l"
